"","Age","Persons","Males","Females"
"1","18",336,221,112
"2","19",336,232,104
"3","20",328,213,115
"4","21",331,215,116
"5","22",314,212,101
"6","23",349,217,132
"7","24",321,205,116
"8","25",301,200,99
"9","26",310,212,98
"10","27",325,227,97
"11","28",326,216,109
"12","29",305,213,92
"13","30",208,133,74
"14","31",231,151,79
"15","32",217,151,65
"16","33",215,131,84
"17","34",230,142,87
"18","35",203,125,78
"19","36",238,152,85
"20","37",220,148,72
"21","38",233,147,84
"22","39",246,158,86
"23","40",206,133,73
"24","41",204,128,74
"25","42",235,160,74
"26","43",224,157,65
"27","44",205,135,69
"28","45",231,149,81
"29","46",219,144,75
"30","47",199,128,70
"31","48",221,151,68
"32","49",233,158,75
"33","50",217,151,66
"34","51",241,155,85
"35","52",224,139,83
"36","53",220,141,78
"37","54",231,165,66
"38","55",220,158,62
"39","56",206,128,77
"40","57",218,143,74
"41","58",219,151,68
"42","59",190,131,59
"43","60",95,66,28
"44","61",108,71,37
"45","62",91,58,33
"46","63",91,59,31
"47","64",109,71,36
"48","65",107,69,37
"49","66",112,75,36
"50","67",110,80,30
"51","68",101,67,34
"52","69",104,74,30
"53","70",99,69,30
"54","71",108,71,37
"55","72",96,66,30
"56","73",96,62,32
"57","74",101,66,35
"58","75",93,63,30
"59","76",126,90,36
"60","77",112,76,36
"61","78",105,66,38
"62","79",113,71,42
"63","80",117,80,36
"64","81",109,73,36
"65","82",119,79,40
"66","83",112,76,35
"67","84",114,85,28
