"","Age","Persons","Males","Females"
"1","18",30,24,6
"2","19",33,25,8
"3","20",49,33,16
"4","21",47,30,16
"5","22",30,23,7
"6","23",25,17,8
"7","24",30,22,8
"8","25",33,23,10
"9","26",35,22,12
"10","27",31,19,11
"11","28",31,19,12
"12","29",34,24,10
"13","30",21,14,7
"14","31",16,12,4
"15","32",18,14,4
"16","33",27,16,10
"17","34",20,12,8
"18","35",17,9,8
"19","36",22,17,5
"20","37",27,19,8
"21","38",21,16,5
"22","39",21,14,7
"23","40",18,16,2
"24","41",14,8,6
"25","42",26,17,9
"26","43",26,16,10
"27","44",25,20,5
"28","45",21,11,10
"29","46",25,17,8
"30","47",29,19,10
"31","48",21,20,1
"32","49",15,11,4
"33","50",22,14,8
"34","51",24,14,10
"35","52",28,17,11
"36","53",16,12,4
"37","54",16,9,7
"38","55",17,14,3
"39","56",27,16,11
"40","57",25,16,8
"41","58",21,13,8
"42","59",19,13,6
"43","60",11,6,5
"44","61",11,10,1
"45","62",12,8,4
"46","63",5,4,1
"47","64",11,9,2
"48","65",15,12,3
"49","66",10,7,3
"50","67",5,2,3
"51","68",12,7,5
"52","69",12,11,1
"53","70",15,9,6
"54","71",7,3,4
"55","72",8,3,5
"56","73",11,8,3
"57","74",11,7,4
"58","75",15,12,3
"59","76",7,6,1
"60","77",15,11,4
"61","78",14,8,5
"62","79",11,7,4
"63","80",11,10,1
"64","81",15,8,7
"65","82",11,7,4
"66","83",14,13,1
"67","84",9,7,2
