"","Age","Persons","Males","Females"
"1","18",1761,1235,518
"2","19",1775,1256,511
"3","20",1800,1266,533
"4","21",1760,1234,524
"5","22",1642,1144,493
"6","23",1755,1213,540
"7","24",1715,1150,557
"8","25",1719,1192,523
"9","26",1698,1204,490
"10","27",1689,1194,492
"11","28",1825,1273,548
"12","29",1699,1170,521
"13","30",1162,820,337
"14","31",1128,797,329
"15","32",1135,778,354
"16","33",1195,858,335
"17","34",1177,795,376
"18","35",1152,813,337
"19","36",1155,794,357
"20","37",1175,832,341
"21","38",1172,816,353
"22","39",1072,714,351
"23","40",1201,845,352
"24","41",1161,779,379
"25","42",1153,807,340
"26","43",1194,846,342
"27","44",1113,755,354
"28","45",1125,787,334
"29","46",1171,802,367
"30","47",1156,811,343
"31","48",1145,822,320
"32","49",1174,812,360
"33","50",1203,853,344
"34","51",1139,780,357
"35","52",1160,816,339
"36","53",1095,744,348
"37","54",1125,794,330
"38","55",1112,777,333
"39","56",1198,810,385
"40","57",1240,859,376
"41","58",1178,821,352
"42","59",1188,819,368
"43","60",544,367,175
"44","61",518,358,160
"45","62",579,405,173
"46","63",516,374,139
"47","64",589,400,187
"48","65",548,366,179
"49","66",559,415,143
"50","67",553,389,164
"51","68",574,398,175
"52","69",565,399,163
"53","70",543,379,163
"54","71",527,352,172
"55","72",558,374,183
"56","73",603,427,173
"57","74",566,401,165
"58","75",535,362,171
"59","76",590,430,159
"60","77",550,393,156
"61","78",543,366,173
"62","79",562,385,176
"63","80",563,383,178
"64","81",545,392,152
"65","82",597,401,196
"66","83",571,387,181
"67","84",528,360,168
