"","Age","Persons","Males","Females"
"1","18",958,667,289
"2","19",984,706,275
"3","20",1040,735,299
"4","21",991,707,283
"5","22",1000,680,318
"6","23",945,651,291
"7","24",994,667,323
"8","25",1022,727,294
"9","26",1014,694,318
"10","27",998,669,327
"11","28",978,703,273
"12","29",947,664,279
"13","30",630,440,188
"14","31",655,462,192
"15","32",649,452,194
"16","33",700,477,222
"17","34",656,444,207
"18","35",648,450,196
"19","36",692,468,218
"20","37",669,467,202
"21","38",713,507,206
"22","39",664,447,216
"23","40",647,459,187
"24","41",677,456,219
"25","42",693,494,197
"26","43",710,493,213
"27","44",687,479,205
"28","45",623,428,193
"29","46",672,476,192
"30","47",667,468,196
"31","48",666,485,179
"32","49",660,475,184
"33","50",654,457,195
"34","51",610,409,200
"35","52",643,451,189
"36","53",667,448,218
"37","54",654,470,183
"38","55",690,483,203
"39","56",694,454,240
"40","57",684,485,193
"41","58",657,450,205
"42","59",673,442,230
"43","60",304,223,80
"44","61",286,202,82
"45","62",314,222,91
"46","63",309,218,90
"47","64",356,244,112
"48","65",298,211,86
"49","66",311,213,98
"50","67",330,238,92
"51","68",315,225,89
"52","69",311,217,94
"53","70",304,207,97
"54","71",306,211,94
"55","72",343,253,90
"56","73",333,223,108
"57","74",313,210,102
"58","75",335,229,106
"59","76",361,254,105
"60","77",302,206,96
"61","78",306,208,95
"62","79",346,232,113
"63","80",323,220,103
"64","81",313,214,96
"65","82",344,234,110
"66","83",314,216,95
"67","84",292,207,83
