"","Age","Persons","Males","Females"
"1","18",977,678,294
"2","19",1050,745,302
"3","20",1013,700,312
"4","21",1000,689,309
"5","22",968,694,269
"6","23",999,691,308
"7","24",946,651,291
"8","25",1008,687,318
"9","26",1032,697,331
"10","27",962,650,305
"11","28",1034,708,324
"12","29",998,664,327
"13","30",669,487,181
"14","31",623,417,205
"15","32",647,441,204
"16","33",658,460,193
"17","34",628,430,194
"18","35",617,432,185
"19","36",709,494,212
"20","37",628,441,185
"21","38",689,467,222
"22","39",649,447,199
"23","40",713,491,220
"24","41",646,457,188
"25","42",647,467,178
"26","43",736,520,211
"27","44",656,462,192
"28","45",686,471,215
"29","46",662,449,213
"30","47",657,470,186
"31","48",648,458,188
"32","49",670,477,191
"33","50",707,493,209
"34","51",713,483,228
"35","52",696,478,218
"36","53",671,442,227
"37","54",634,433,201
"38","55",643,453,188
"39","56",654,468,185
"40","57",658,445,210
"41","58",608,416,192
"42","59",687,494,192
"43","60",295,208,87
"44","61",314,223,91
"45","62",318,225,92
"46","63",331,245,85
"47","64",349,240,105
"48","65",305,212,92
"49","66",310,214,96
"50","67",292,200,91
"51","68",337,244,93
"52","69",330,242,87
"53","70",339,234,104
"54","71",308,213,94
"55","72",305,210,94
"56","73",336,223,112
"57","74",336,233,102
"58","75",316,223,92
"59","76",305,220,84
"60","77",347,247,98
"61","78",343,225,117
"62","79",314,243,71
"63","80",313,215,96
"64","81",305,217,88
"65","82",339,239,100
"66","83",337,232,103
"67","84",339,238,101
