"","Age","Persons","Males","Females"
"1","18",831,591,237
"2","19",806,555,250
"3","20",825,567,254
"4","21",811,557,253
"5","22",783,535,244
"6","23",794,537,257
"7","24",799,571,225
"8","25",856,593,261
"9","26",797,566,227
"10","27",783,522,256
"11","28",839,595,242
"12","29",807,560,242
"13","30",550,382,168
"14","31",540,366,170
"15","32",538,362,173
"16","33",552,389,162
"17","34",515,363,149
"18","35",527,366,159
"19","36",540,384,154
"20","37",538,369,167
"21","38",593,407,185
"22","39",531,357,173
"23","40",573,397,172
"24","41",520,361,158
"25","42",552,401,150
"26","43",565,392,172
"27","44",520,374,145
"28","45",561,392,168
"29","46",526,377,148
"30","47",539,369,165
"31","48",536,373,162
"32","49",588,417,170
"33","50",543,371,172
"34","51",559,387,169
"35","52",556,377,178
"36","53",542,371,170
"37","54",551,389,162
"38","55",589,408,178
"39","56",553,385,168
"40","57",574,387,184
"41","58",530,348,180
"42","59",571,408,163
"43","60",251,179,71
"44","61",245,175,69
"45","62",278,179,99
"46","63",269,181,87
"47","64",258,176,80
"48","65",262,200,61
"49","66",263,175,88
"50","67",271,189,79
"51","68",271,186,84
"52","69",286,216,68
"53","70",272,177,95
"54","71",254,177,75
"55","72",257,186,71
"56","73",283,195,87
"57","74",266,181,85
"58","75",257,182,75
"59","76",278,190,87
"60","77",281,194,87
"61","78",302,204,97
"62","79",256,178,78
"63","80",256,181,74
"64","81",303,201,99
"65","82",299,199,100
"66","83",267,191,76
"67","84",266,185,81
