"","Age","Persons","Males","Females"
"1","18",3731,2620,1098
"2","19",3650,2620,1023
"3","20",3740,2619,1113
"4","21",3803,2650,1146
"5","22",3583,2529,1043
"6","23",3712,2581,1122
"7","24",3654,2535,1102
"8","25",3694,2583,1102
"9","26",3694,2609,1071
"10","27",3658,2559,1090
"11","28",3752,2644,1096
"12","29",3574,2494,1062
"13","30",2418,1699,714
"14","31",2459,1728,726
"15","32",2425,1658,759
"16","33",2456,1751,697
"17","34",2365,1643,714
"18","35",2362,1678,680
"19","36",2479,1733,736
"20","37",2434,1710,718
"21","38",2500,1742,755
"22","39",2407,1653,745
"23","40",2436,1689,741
"24","41",2414,1662,745
"25","42",2446,1764,675
"26","43",2529,1781,738
"27","44",2429,1699,721
"28","45",2452,1676,769
"29","46",2455,1726,721
"30","47",2457,1732,716
"31","48",2406,1736,664
"32","49",2546,1797,741
"33","50",2486,1746,728
"34","51",2476,1697,771
"35","52",2453,1714,725
"36","53",2382,1622,757
"37","54",2478,1756,716
"38","55",2437,1711,719
"39","56",2541,1735,801
"40","57",2469,1715,739
"41","58",2480,1738,737
"42","59",2458,1740,714
"43","60",1073,774,293
"44","61",739,515,221
"45","62",772,532,237
"46","63",758,541,215
"47","64",778,550,227
"48","65",772,525,244
"49","66",784,561,221
"50","67",713,487,224
"51","68",761,538,220
"52","69",758,547,207
"53","70",788,571,216
"54","71",721,498,218
"55","72",731,532,197
"56","73",812,567,240
"57","74",780,542,236
"58","75",719,506,211
"59","76",794,569,224
"60","77",747,513,231
"61","78",752,534,215
"62","79",813,576,235
"63","80",726,505,218
"64","81",769,558,207
"65","82",819,573,245
"66","83",776,543,229
"67","84",761,519,241
