"","Age","Persons","Males","Females"
"1","18",1084,767,315
"2","19",1014,696,315
"3","20",968,684,283
"4","21",1015,690,324
"5","22",952,674,277
"6","23",969,686,282
"7","24",991,686,302
"8","25",967,667,298
"9","26",971,696,269
"10","27",975,703,271
"11","28",1052,748,302
"12","29",1021,738,281
"13","30",671,449,222
"14","31",682,503,176
"15","32",704,488,214
"16","33",724,521,202
"17","34",620,440,180
"18","35",649,467,178
"19","36",624,448,173
"20","37",670,469,200
"21","38",680,488,189
"22","39",657,450,201
"23","40",649,453,194
"24","41",647,430,213
"25","42",682,463,218
"26","43",635,454,179
"27","44",645,442,203
"28","45",686,492,190
"29","46",676,485,189
"30","47",646,456,188
"31","48",650,473,175
"32","49",670,458,207
"33","50",679,478,198
"34","51",700,481,214
"35","52",639,448,190
"36","53",663,446,216
"37","54",685,473,210
"38","55",663,470,192
"39","56",681,482,197
"40","57",646,462,183
"41","58",734,517,213
"42","59",652,447,203
"43","60",294,213,79
"44","61",318,223,93
"45","62",296,198,98
"46","63",309,218,89
"47","64",331,220,110
"48","65",323,220,102
"49","66",333,247,86
"50","67",287,206,80
"51","68",314,227,87
"52","69",336,241,93
"53","70",322,226,95
"54","71",326,219,104
"55","72",309,222,86
"56","73",317,228,88
"57","74",311,216,95
"58","75",312,216,95
"59","76",323,226,96
"60","77",319,219,99
"61","78",342,238,101
"62","79",337,236,101
"63","80",325,236,89
"64","81",338,237,99
"65","82",313,202,111
"66","83",312,226,86
"67","84",315,224,91
