"","Age","Persons","Males","Females"
"1","18",5041,3532,1493
"2","19",4977,3529,1435
"3","20",5058,3533,1512
"4","21",5079,3529,1540
"5","22",4864,3417,1434
"6","23",4940,3428,1501
"7","24",4963,3409,1535
"8","25",4964,3448,1502
"9","26",5021,3515,1490
"10","27",4967,3454,1498
"11","28",5081,3548,1520
"12","29",4867,3378,1469
"13","30",3310,2335,968
"14","31",3299,2318,974
"15","32",3323,2279,1033
"16","33",3355,2357,986
"17","34",3200,2218,969
"18","35",3268,2300,961
"19","36",3376,2356,1004
"20","37",3317,2310,997
"21","38",3410,2388,1015
"22","39",3253,2215,1025
"23","40",3343,2311,1020
"24","41",3314,2290,1016
"25","42",3310,2332,968
"26","43",3399,2373,1011
"27","44",3284,2282,992
"28","45",3337,2295,1032
"29","46",3349,2343,997
"30","47",3261,2282,966
"31","48",3249,2322,919
"32","49",3395,2395,988
"33","50",3385,2387,983
"34","51",3341,2262,1069
"35","52",3313,2304,994
"36","53",3232,2189,1037
"37","54",3298,2325,967
"38","55",3295,2300,984
"39","56",3376,2311,1060
"40","57",3362,2319,1026
"41","58",3381,2358,1013
"42","59",3340,2334,999
"43","60",1478,1058,414
"44","61",1540,1082,454
"45","62",1596,1101,491
"46","63",1577,1126,445
"47","64",1667,1150,509
"48","65",1577,1091,480
"49","66",1600,1140,457
"50","67",1516,1055,456
"51","68",1590,1113,474
"52","69",1628,1164,459
"53","70",1631,1143,484
"54","71",1549,1059,484
"55","72",1576,1101,472
"56","73",1645,1138,500
"57","74",1627,1129,496
"58","75",1554,1083,468
"59","76",1625,1159,462
"60","77",1624,1128,490
"61","78",1623,1112,502
"62","79",1658,1161,490
"63","80",1563,1090,468
"64","81",1613,1132,470
"65","82",1676,1157,518
"66","83",1574,1103,465
"67","84",1565,1083,480
