"","Age","Persons","Males","Females"
"1","18",1001,725,272
"2","19",981,717,262
"3","20",976,702,272
"4","21",998,678,320
"5","22",954,687,265
"6","23",1050,729,315
"7","24",1002,686,311
"8","25",980,681,293
"9","26",1000,714,283
"10","27",1038,737,297
"11","28",1004,686,314
"12","29",920,625,290
"13","30",664,471,189
"14","31",652,454,198
"15","32",680,459,218
"16","33",638,447,189
"17","34",630,436,193
"18","35",686,495,191
"19","36",664,461,200
"20","37",671,460,207
"21","38",650,449,201
"22","39",628,435,192
"23","40",659,453,202
"24","41",671,468,202
"25","42",641,441,199
"26","43",663,451,209
"27","44",629,434,191
"28","45",680,453,225
"29","46",657,453,202
"30","47",640,443,194
"31","48",632,462,169
"32","49",652,462,188
"33","50",675,472,202
"34","51",679,458,219
"35","52",643,439,198
"36","53",627,421,205
"37","54",655,480,173
"38","55",641,425,213
"39","56",658,435,221
"40","57",725,484,238
"41","58",696,492,201
"42","59",676,484,190
"43","60",307,216,88
"44","61",299,200,99
"45","62",306,208,97
"46","63",317,224,92
"47","64",331,242,87
"48","65",324,224,98
"49","66",318,232,84
"50","67",288,194,93
"51","68",308,211,96
"52","69",326,234,90
"53","70",323,238,85
"54","71",297,203,94
"55","72",334,229,104
"56","73",345,245,100
"57","74",328,236,92
"58","75",292,210,82
"59","76",336,245,91
"60","77",343,243,100
"61","78",323,230,92
"62","79",316,211,101
"63","80",288,195,92
"64","81",316,217,99
"65","82",348,244,104
"66","83",313,216,96
"67","84",316,202,114
