Age,Persons,Males,Females
0,50772,26138,24634
1,52734,27059,25675
2,54266,28045,26221
3,56539,29267,27272
4,57404,29473,27931
5,57837,29750,28087
6,59032,30203,28829
7,60560,31168,29392
8,62408,31913,30495
9,59479,30263,29216
10,61119,31119,30000
11,60860,30969,29891
12,58512,29924,28588
13,57366,29231,28135
14,56817,29244,27573
15,55692,28678,27014
16,54052,27624,26428
17,53713,27457,26256
18,56834,28903,27931
19,61667,31510,30157
20,65838,33412,32426
21,67735,34303,33432
22,70870,35814,35056
23,71430,36286,35144
24,71583,36251,35332
25,73182,36890,36292
26,74857,37228,37629
27,79127,39349,39778
28,79100,39702,39398
29,75989,37976,38013
30,75648,37656,37992
31,75743,37555,38188
32,73301,36029,37272
33,72691,36090,36601
34,72080,35305,36775
35,69835,34205,35630
36,70584,34472,36112
37,71428,34755,36673
38,70962,34853,36109
39,69713,34339,35374
40,67127,33353,33774
41,62229,30309,31920
42,61101,30279,30822
43,64358,31511,32847
44,64617,31338,33279
45,65725,32217,33508
46,69677,34006,35671
47,73842,35622,38220
48,76666,36697,39969
49,75548,36270,39278
50,78567,37782,40785
51,79919,38446,41473
52,80362,39141,41221
53,79788,38547,41241
54,82454,40024,42430
55,81429,39184,42245
56,81224,39315,41909
57,79062,38548,40514
58,77036,37472,39564
59,74372,36256,38116
60,73504,35533,37971
61,71388,34534,36854
62,69244,33646,35598
63,66867,32428,34439
64,63690,30711,32979
65,62599,30358,32241
66,60993,29455,31538
67,58595,28260,30335
68,58657,28175,30482
69,58600,28212,30388
70,59394,28497,30897
71,60782,29071,31711
72,65059,30844,34215
73,48394,22913,25481
74,45227,21014,24213
75,45388,21118,24270
76,42595,19268,23327
77,38406,17046,21360
78,34798,15232,19566
79,34764,15222,19542
80,33039,14311,18728
81,31191,13403,17788
82,28436,11771,16665
83,26237,10682,15555
84,23904,9681,14223
85,21126,8261,12865
86,18701,7296,11405
87,17001,6384,10617
88,14569,5356,9213
89,12032,4185,7847
90 & over,43658,13411,30247
