"","Age","Persons","Males","Females"
"1","18",1021,695,323
"2","19",948,665,281
"3","20",1061,712,346
"4","21",1075,765,304
"5","22",990,682,305
"6","23",977,671,305
"7","24",1030,719,308
"8","25",987,686,299
"9","26",1004,714,289
"10","27",994,695,298
"11","28",1013,703,307
"12","29",981,687,292
"13","30",676,488,188
"14","31",687,482,203
"15","32",643,439,203
"16","33",635,452,180
"17","34",666,468,195
"18","35",668,456,211
"19","36",687,485,201
"20","37",679,473,203
"21","38",678,477,197
"22","39",655,436,217
"23","40",675,455,217
"24","41",673,479,194
"25","42",647,467,176
"26","43",655,455,199
"27","44",667,465,201
"28","45",662,451,209
"29","46",682,480,201
"30","47",651,445,202
"31","48",653,444,208
"32","49",743,523,218
"33","50",670,487,179
"34","51",639,431,208
"35","52",692,488,199
"36","53",604,432,171
"37","54",670,469,200
"38","55",658,469,188
"39","56",689,472,217
"40","57",649,443,202
"41","58",686,483,202
"42","59",652,467,184
"43","60",278,198,80
"44","61",323,234,89
"45","62",362,248,113
"46","63",311,221,89
"47","64",300,204,95
"48","65",327,224,102
"49","66",328,234,93
"50","67",319,217,100
"51","68",316,206,109
"52","69",325,230,95
"53","70",343,238,103
"54","71",312,213,98
"55","72",285,187,98
"56","73",314,219,92
"57","74",339,234,105
"58","75",299,205,93
"59","76",300,214,86
"60","77",313,213,97
"61","78",309,211,97
"62","79",345,239,104
"63","80",314,224,88
"64","81",341,247,88
"65","82",332,238,93
"66","83",298,213,85
"67","84",303,212,91
