"","Age","Persons","Males","Females"
"1","18",1380,981,396
"2","19",1336,945,389
"3","20",1395,970,421
"4","21",1313,880,429
"5","22",1344,948,392
"6","23",1321,902,414
"7","24",1364,970,388
"8","25",1362,971,386
"9","26",1360,965,390
"10","27",1385,932,448
"11","28",1369,964,400
"12","29",1332,934,389
"13","30",903,622,280
"14","31",888,623,263
"15","32",896,620,272
"16","33",921,657,260
"17","34",893,627,262
"18","35",840,596,243
"19","36",967,655,307
"20","37",879,598,278
"21","38",930,646,281
"22","39",922,625,295
"23","40",908,600,306
"24","41",932,651,281
"25","42",899,642,255
"26","43",944,662,282
"27","44",862,608,253
"28","45",892,596,293
"29","46",894,637,254
"30","47",897,618,273
"31","48",900,628,269
"32","49",948,665,279
"33","50",917,646,268
"34","51",927,625,299
"35","52",855,606,246
"36","53",873,564,307
"37","54",897,640,255
"38","55",937,660,273
"39","56",926,632,293
"40","57",899,616,279
"41","58",957,660,294
"42","59",925,663,260
"43","60",423,299,122
"44","61",436,298,137
"45","62",437,292,143
"46","63",440,319,118
"47","64",415,272,141
"48","65",423,296,125
"49","66",453,330,121
"50","67",437,299,135
"51","68",412,278,132
"52","69",450,321,128
"53","70",460,311,147
"54","71",398,269,129
"55","72",412,292,119
"56","73",446,305,138
"57","74",420,298,121
"58","75",413,281,132
"59","76",431,298,132
"60","77",454,311,140
"61","78",463,324,137
"62","79",465,325,138
"63","80",433,305,126
"64","81",469,326,141
"65","82",450,308,142
"66","83",420,286,134
"67","84",443,298,144
