"","Age","Persons","Males","Females"
"1","18",564,391,172
"2","19",546,369,175
"3","20",517,358,159
"4","21",559,399,160
"5","22",510,348,159
"6","23",545,374,170
"7","24",536,331,201
"8","25",536,360,175
"9","26",536,364,171
"10","27",501,356,144
"11","28",549,382,165
"12","29",527,364,159
"13","30",347,239,107
"14","31",357,236,121
"15","32",355,229,123
"16","33",382,269,113
"17","34",328,225,101
"18","35",339,238,101
"19","36",325,221,103
"20","37",361,246,114
"21","38",356,241,114
"22","39",303,197,105
"23","40",383,258,124
"24","41",362,241,120
"25","42",331,202,125
"26","43",347,223,123
"27","44",349,231,118
"28","45",349,248,100
"29","46",381,248,133
"30","47",325,234,91
"31","48",339,229,110
"32","49",367,257,110
"33","50",392,275,115
"34","51",328,225,101
"35","52",367,255,110
"36","53",348,230,118
"37","54",343,239,103
"38","55",342,242,98
"39","56",344,240,103
"40","57",382,262,119
"41","58",372,269,102
"42","59",367,254,113
"43","60",164,105,59
"44","61",223,147,76
"45","62",246,179,67
"46","63",208,153,54
"47","64",262,180,81
"48","65",238,158,79
"49","66",214,157,57
"50","67",221,157,64
"51","68",259,186,73
"52","69",249,176,72
"53","70",251,178,72
"54","71",251,166,84
"55","72",247,159,87
"56","73",270,195,75
"57","74",240,173,67
"58","75",219,148,70
"59","76",244,181,62
"60","77",224,163,60
"61","78",228,162,65
"62","79",223,154,69
"63","80",252,179,73
"64","81",230,168,62
"65","82",250,167,83
"66","83",236,158,78
"67","84",221,150,71
