"","Age","Persons","Males","Females"
"1","18",1393,971,415
"2","19",1423,1024,393
"3","20",1462,1022,438
"4","21",1438,1012,423
"5","22",1331,956,371
"6","23",1410,968,439
"7","24",1352,943,406
"8","25",1405,987,415
"9","26",1382,987,389
"10","27",1365,958,404
"11","28",1491,1026,461
"12","29",1371,964,404
"13","30",941,673,264
"14","31",922,657,263
"15","32",912,636,275
"16","33",956,680,274
"17","34",947,631,313
"18","35",931,652,277
"19","36",966,677,286
"20","37",957,677,279
"21","38",953,663,288
"22","39",921,621,294
"23","40",951,669,277
"24","41",895,626,266
"25","42",935,671,262
"26","43",989,721,259
"27","44",935,654,277
"28","45",934,651,278
"29","46",946,666,279
"30","47",948,665,280
"31","48",959,707,248
"32","49",932,636,293
"33","50",976,687,286
"34","51",945,641,303
"35","52",981,680,297
"36","53",864,602,261
"37","54",943,667,275
"38","55",917,619,297
"39","56",978,668,307
"40","57",969,657,308
"41","58",941,640,299
"42","59",918,625,292
"43","60",417,299,116
"44","61",380,276,103
"45","62",396,268,128
"46","63",360,248,110
"47","64",412,287,123
"48","65",399,264,133
"49","66",399,288,110
"50","67",384,275,108
"51","68",395,278,116
"52","69",384,276,107
"53","70",365,260,105
"54","71",343,226,115
"55","72",374,269,105
"56","73",397,278,116
"57","74",397,272,125
"58","75",378,266,111
"59","76",413,293,120
"60","77",386,268,118
"61","78",387,259,125
"62","79",407,281,125
"63","80",395,269,124
"64","81",390,267,121
"65","82",398,275,123
"66","83",393,267,123
"67","84",376,265,110
