"","Age","Persons","Males","Females"
"1","18",1704,1189,510
"2","19",1672,1191,478
"3","20",1684,1183,494
"4","21",1769,1238,528
"5","22",1679,1165,512
"6","23",1664,1184,478
"7","24",1711,1165,540
"8","25",1661,1130,526
"9","26",1743,1199,540
"10","27",1716,1208,502
"11","28",1672,1176,494
"12","29",1637,1116,517
"13","30",1119,801,317
"14","31",1132,802,327
"15","32",1160,794,363
"16","33",1096,751,339
"17","34",1032,735,293
"18","35",1158,814,340
"19","36",1118,803,308
"20","37",1120,789,326
"21","38",1171,838,332
"22","39",1107,772,331
"23","40",1101,784,313
"24","41",1125,772,349
"25","42",1145,817,326
"26","43",1119,767,347
"27","44",1138,789,344
"28","45",1162,800,361
"29","46",1128,792,331
"30","47",1091,765,322
"31","48",1051,758,292
"32","49",1148,837,306
"33","50",1100,779,314
"34","51",1141,771,366
"35","52",1110,763,341
"36","53",1147,793,351
"37","54",1115,779,334
"38","55",1099,779,316
"39","56",1128,771,357
"40","57",1112,784,320
"41","58",1111,789,318
"42","59",1130,792,334
"43","60",474,355,117
"44","61",501,361,138
"45","62",517,362,153
"46","63",569,406,163
"47","64",578,411,164
"48","65",517,373,143
"49","66",534,365,169
"50","67",474,324,149
"51","68",524,371,153
"52","69",545,391,152
"53","70",555,394,160
"54","71",557,398,156
"55","72",543,381,161
"56","73",532,360,171
"57","74",570,386,183
"58","75",544,388,155
"59","76",537,387,148
"60","77",560,386,172
"61","78",545,367,175
"62","79",563,401,158
"63","80",483,337,145
"64","81",524,371,146
"65","82",578,407,170
"66","83",525,392,130
"67","84",525,370,155
